name,phone,principal_contact,url,address,accredited
Progressive Medical Billing,+12107331802,"Ms. Leticia A. Cantu, Owner",https://www.bbb.org/us/tx/san-antonio/profile/billing-services/progressive-medical-billing-0825-90020942,"6655 First Park Ten Blvd Ste 216, San Antonio, TX 78213-4304",True
Momentum Billing,+18668756527,N/A,https://www.bbb.org/us/ca/san-diego/profile/medical-billing/momentum-billing-1126-172017754,"13400 Sabre Springs Pkwy #150, San Diego, CA 92128",False
Matrix Medical Billing,+18888343477,"Mr. Christian Burris, Member",https://www.bbb.org/us/az/mesa/profile/billing-services/matrix-medical-billing-1126-97026964,"2135 E. University Drive #120, Mesa, AZ 85213-8337",False
Medical Billing Partners,+14024135394,"Taylor Santos, Owner",https://www.bbb.org/us/ne/lincoln/profile/medical-billing/medical-billing-partners-0714-1000061239,"Lincoln, NE 68505-0201",False
Centerline Medical Billing,+18008285133,"Mr. Patrick Mahoney, Owner",https://www.bbb.org/us/ca/aliso-viejo/profile/medical-billing/centerline-medical-billing-1126-1000116438,"Aliso Viejo, CA 92653-4642",True
Compass Billing,+13037131300,"Ms. Ellen E. Stewart, Registered Agent, Mr. Clayton Fast, President",https://www.bbb.org/us/co/greenwood-village/profile/medical-billing/compass-billing-1296-90146804,"5350 Dtc Pkwy, Ste 304, Greenwood Village, CO 80111",False
Springs Medical Billing,+17194008222,"Mrs. Christina Boyce, Owner",https://www.bbb.org/us/co/colorado-springs/profile/medical-billing/springs-medical-billing-0785-1000007536/addressId/54148,"Po Box 64258, Colorado Springs, CO 80962",False
Veracity Medical Billing,+13175203555,"Sharon Gall, President",https://www.bbb.org/us/in/zionsville/profile/medical-billing/veracity-medical-billing-0382-90050513,"220 South Elm Street, Zionsville, IN 46077",False
Midwest Medical Billing,+16145771077,"Ms. Kelly Schaffer Rahe, President",https://www.bbb.org/us/oh/reynoldsburg/profile/medical-billing/midwest-medical-billing-0302-11006119,"6400 E Main St Ste 201, Reynoldsburg, OH 43068-2348",False
Specialized Medical Billing,+16144618154,"Mrs. Adrianne H. Nittala, Co-Owner, Mr. Kal Nittala, Co-Owner",https://www.bbb.org/us/oh/worthington/profile/medical-billing/specialized-medical-billing-0302-70095304,"330 E Wilson Bridge Rd Ste 100, Worthington, OH 43085-6310",True
Proclaims Medical Billing,+13862745712,"Michelle Cavanaugh, President",https://www.bbb.org/us/fl/ormond-beach/profile/medical-billing/proclaims-medical-billing-0733-90136184,"785 W Granada Blvd Ste 5, Ormond Beach, FL 32174-5163",False
Blitz Medical Billing,+18553298220,"Ms. Lilian Garcia, CEO",https://www.bbb.org/us/tx/frisco/profile/medical-billing/blitz-medical-billing-0875-91061873,"1701 Legacy Dr Ste 1200, Frisco, TX 75034-5991",True
