Business Name,Address,Phone Number,Primary Contact,BBB Accreditation Status,Profile URL
TYRUS Health,"33530 1st Way S Ste 102 Federal Way, WA 98003-7332",(253) 642-4104,"Ms. Bridgett Sammon, Owner",TYRUS Health is BBB Accredited.,https://adclick.g.doubleclick.net/pcs/click?xai=AKAOjsunmVuKgh5RaP_F1gWyfenQkTDGoSDv03b_uGmb4aw9fDhWej-nRa8_SDU0UbBEd04TYoVOULVdCx-1clERU9dgfZaRDqSeKnD8Zpk0xCKg7WmXhzbP1SXxK43KnqUQg81eZXdlYnvVPVG3OQIDS7x4t4yRadRIvLUxbTl1XcwKnKIw17obbBCn1m79xmnBC1Y64ZYIk_5MT6-dFe9xpAkNPI2FuUr8igSyvbLCE3Z7NCytGH2almWORqo1ewvMsGM2nvKJ5dQtARKfIofomdBEc4W0cDCqgZvJB_n9wTYiUoPvzPBD4FpQVjXWG1sWiCb4saxX98TB4Wg1jQvl0kew8e3EMEfhbdu0mOo8cx5ZoxYASeUvIU5L4BcoPBMzrxaDR4-m-g&sai=AMfl-YQquwr4vW2eMgokYyWYwe_-pnlMo1uHXUb7VYzrGlX5UeUXwo-v0KS-LtCO3DLGulQfTSV5E5AA8BTM3kiwMbLuMPcDWpOFkMK3T2K3BbA5WjSofcS5IAS6Xc8&sig=Cg0ArKJSzFvh_xE_zY21EAE&fbs_aeid=%5Bgw_fbsaeid%5D&urlfix=1&adurl=https://www.bbb.org/us/wa/federal-way/profile/medical-billing/tyrus-health-1296-1000119740
Savant Medical Billing,"Vancouver, WA 98662-5719",(360) 567-7154,"Ms. Susanne Noga, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/wa/vancouver/profile/medical-billing/savant-medical-billing-1296-1000087929
Medical Billing Services,"302 Powell Dr, Tyler, TX 75703-4635",(903) 534-1104,Ms. Carol Barrios,NOT a BBB Accredited Business,https://www.bbb.org/us/tx/tyler/profile/medical-billing/medical-billing-services-1075-28114624
DMJM Medical Billing,"PO Box 2611, Chesterfield, VA 23832",(804) 275-0606,"Ms. Jeanne M Haskins, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/va/chesterfield/profile/medical-billing/dmjm-medical-billing-0603-63400221/addressId/55124
Renaissance Medical Billing,"3917 Volunteer Dr STE 5, Chattanooga, TN 37416-3876",(423) 877-2312,"Mr. Durie Andrews, Director of Business Development",NOT BBB Accredited,https://www.bbb.org/us/tn/chattanooga/profile/billing-services/renaissance-medical-billing-0483-40035843/addressId/26756
"MedNet Medical Billing and Collection Services, Inc.","7801 Academy Rd NE Bldg 2 Ste 102, Albuquerque, NM 87109-3379",(505) 341-0070,"Ms. Jen Jaciw, Business Manager",NOT a BBB Accredited,https://www.bbb.org/us/nm/albuquerque/profile/medical-billing/mednet-medical-billing-and-collection-services-inc-0806-99149950
G & P Billing Services LLC,"PO Box 397, Lima, OH 45802-0397",(419) 224-7056,"Ms. Valerie Kline, President/Manager",NOT a BBB Accredited Business,https://www.bbb.org/us/oh/lima/profile/medical-billing/g-p-billing-services-llc-0422-8004351
"Professional Billing, Inc","PO Box 1026 Powell, OH 43065-1026",(877) 696-6589,"Mr. Daniel Crocker, President",NOT a BBB Accredited Business,https://www.bbb.org/us/oh/powell/profile/medical-business-administration/professional-billing-inc-0302-70075862
Mercy Physician Billing,"2525 S Michigan Ave # B-522, Chicago, IL 60616-2333",(312) 567-6691,"Ms. Eleanor L. Copp, Managed Care Physician Services",NOT a BBB Accredited,https://www.bbb.org/us/il/chicago/profile/billing-services/mercy-physician-billing-0654-33002223
On Point Medical Billing,"29200 Southfield Rd., S. 202A, Southfield, MI 48076",(248) 281-3508,"Ms. Sophia Hooper, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/mi/southfield/profile/billing-services/on-point-medical-billing-0372-90031304
Cardinal Medical Billing LLC,"Snohomish, WA 98290-7214",(360) 863-6186,"Ms. Krystee Nixon, CEO",NOT BBB Accredited,https://www.bbb.org/us/wa/snohomish/profile/medical-billing/cardinal-medical-billing-llc-1296-1000105223
Independent Medical Billing LLC,"Phoenix, AZ 85033-1856",(602) 349-5869,"Ms. Christina Miller, Owner",NOT BBB Accredited,https://www.bbb.org/us/az/phoenix/profile/medical-billing/independent-medical-billing-llc-1126-1000091289
CF Medical Billing LLC,"3705 S Highway 27 STE 203 Clermont, FL 34711-7950",(352) 536-8140,"Theresa Stone, Owner",CF Medical Billing LLC is BBB Accredited.,https://www.bbb.org/us/fl/clermont/profile/medical-billing/cf-medical-billing-llc-0733-90337120
Avedis Medical Billing Solutions,"Bakersfield, CA 93314-3703",(661) 706-2911,"Ms. Tambra A. Head, Owner",NOT a BBB Accredited,https://www.bbb.org/us/ca/bakersfield/profile/medical-billing/avedis-medical-billing-solutions-1126-89043575
